anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_mt2
Direcional,,,2022-02-17,Águas Claras,,Brasília,2962633297,,,,"R. das Carnaúbas, Lote 12 ",,,,,https://www.wimoveis.com.br/propriedades/apartamento-brasilia-reserva-parque-clube-2962633297.html,,,
L.Wertheim,,,2022-06-22,Pinheiros,,São Paulo,2965430553,,,,"Rua Oscar Freire, 1485",,,,,https://www.wimoveis.com.br/propriedades/apartamento-pinheiros-terraco-oscar-freire-2965430553.html,,3.176.000,
Eztec,,,2022-06-06,Pompéia,,São Paulo,2962947539,,,,"RUA TUCUNA, 88",,,,,https://www.wimoveis.com.br/propriedades/apartamento-no-pompeia-vivid-perdizes-2962947539.html,,,
Benx,,,2022-06-17,Vila Pompéia,,São Paulo,2962691758,,,,"Avenida Pompeia, 713						",,,,,https://www.wimoveis.com.br/propriedades/apartamento-na-pompeia-viva-benx-pompeia-2962691758.html,,270.249,
Rezende Empreendimentos,,,2022-06-27,Pinheiros,,São Paulo,2966478662,,,,"R. Bianchi Bertoldi, 130 							",,,,,https://www.wimoveis.com.br/propriedades/apartamento-e-studio-pinheiros-ara-faria-lima-2966478662.html,,,
COEMI IMÓVEIS.,58,58,2022-07-03,Águas Claras,2,Brasília,2966810306,3545,,,Rua 08 Norte 0,1,22,2,1,https://www.wimoveis.com.br/propriedades/rua-08-norte-apartamento-de-2-quartos-sendo-1-suite-2966810306.html,495,460.000,
IMOBILIÁRIA  PLANALTO LTDA,34,34,2022-06-22,Águas Claras,1,Brasília,2959926490,J- 120,,,AVENIDA DAS CASTANHEIRAS ÁGUAS CLARAS ED REAL SPLENDOR - 24o Andar,1,10,1,,https://www.wimoveis.com.br/propriedades/vende-se-apto-de-1-quarto-no-residencial-real-2959926490.html,366,330.000,
COEMI IMÓVEIS.,90,90,2022-07-02,Águas Claras,2,Brasília,2965587471,3545,,,Quadra 106 10,1,22,3,1,https://www.wimoveis.com.br/propriedades/quadra-106-apartamento-de-3-quartos-sendo-1-suite-2965587471.html,0,715.000,
COEMI IMÓVEIS.,281,281,2022-07-03,Águas Claras,6,Brasília,2966810304,3545,,,Quadra 206 0,3,22,4,4,https://www.wimoveis.com.br/propriedades/quadra-206-sagitarius-apartamento-com-reforma-de-2966810304.html,2300,3.000.000,
Evandro Rodrigues Corretor de Imóveis,157,260,2022-07-01,Águas Claras,6,Brasília,2965622851,20348,,,QUADRA 104 AGUAS CLARAS NORTE 12,3,,4,4,https://www.wimoveis.com.br/propriedades/quadra-104-aguas-claras-04-quartos-04-suites-157-a-250-2965622851.html,,1,
Imobiliária Serra Negra,97,185,2022-07-03,Águas Claras,3,Brasília,2966788814,25988,,,rua 09 sul lote 03,2,12,4,3,https://www.wimoveis.com.br/propriedades/reformado-porteira-fechada-4-quartos-sendo-3-suites-2966788814.html,799,969.000,
Patricia Barbosa - Corretora de Imoveis,168,168,2022-06-28,Águas Claras,,Brasília,2965492623,10902,,,Rua 28 VIA TERRAZZO 9,3,9,4,2,https://www.wimoveis.com.br/propriedades/a-venda-via-terrazzo-4-quartos-sendo-2-suites-e-2-semi-2965492623.html,1300,1.470.000,
COEMI IMÓVEIS.,70,70,2022-07-02,Águas Claras,2,Brasília,2966106408,3545,,,Avenida Parque Águas Claras 11,1,22,3,1,https://www.wimoveis.com.br/propriedades/av-parque-aguas-claras-ed.-natalia-valois-2966106408.html,545,580.000,
COEMI IMÓVEIS.,82,82,2022-07-03,Águas Claras,2,Brasília,2966810297,3545,,,Quadra 101 0,1,22,2,1,https://www.wimoveis.com.br/propriedades/quadra-101-apartamento-de-2-quartos-sendo-1-suite-a-2966810297.html,615,700.000,
THAIS IMOBILIÁRIA VENDAS,63,63,2022-07-02,Águas Claras,2,Brasília,2965982900,,,,Quadra 202 10,1,,2,1,https://www.wimoveis.com.br/propriedades/apartamento-res.-franz-listz-brasilia-df-2965982900.html,654,430.000,
4IMOB - Assessoria imobiliária,39,39,2022-07-02,Águas Claras,1,Brasília,2958913619,25942,,," Av. Sibipiruna, Lote 11",1,6,1,,https://www.wimoveis.com.br/propriedades/smart-residence-vaga-de-garagem-apartamento-2958913619.html,,359.000,
COEMI IMÓVEIS.,71,71,2022-07-02,Águas Claras,2,Brasília,2966200556,3545,,,Rua 36 Sul 6,1,22,2,2,https://www.wimoveis.com.br/propriedades/lancamento-ouro-branco-vi-rua-36-sul-aguas-claras-2966200556.html,0,672.830,
Nova Inteligência Imobiliária,165,165,2022-07-03,Águas Claras,2,Brasília,2965300888,CJ - 25228,,,"R. das Paineiras, Via Palácio Do Sol Lote 2",3,14,4,2,https://www.wimoveis.com.br/propriedades/apartamento-4-quartos-andar-alto-3-vagas-de-garagem-2965300888.html,1305,1.400.000,
MARIA COSTA,47,47,2022-06-30,Águas Claras,1,Brasília,2966662716,,,,"RUA 04 NORTE , AVENIDA DAS CASTANHEIRAS",1,4,1,1,https://www.wimoveis.com.br/propriedades/01-quarto-residencial-michiganmobiliado-reformado!-2966662716.html,1,450.000,
ATALAIA Empreendimentos Imobiliários,38,38,2022-07-03,Águas Claras,1,Brasília,2966817185,17841,,,Quadra 107 101,1,3,1,,https://www.wimoveis.com.br/propriedades/residencial-figueiras-a-venda-1-quarto-moveis-2966817185.html,,390.000,
Canopus,,,2022-06-04,Pinheiros,,São Paulo,2953840823,,,,"Cardeal Arcoverde,  2004",,,,,https://www.wimoveis.com.br/propriedades/apartamento-pinheiros-today-pinheiros-2953840823.html,,298.000,
Yuny Incorporadora,,,2022-06-09,Pinheiros,,São Paulo,2949735326,12345,,,"Rua Alves Guimarães, 170",,,,,https://www.wimoveis.com.br/propriedades/apartamento-pinheiros-limited-pinheiros-2949735326.html,,483.825,
Riva Incorporadora,,,2022-01-28,Pinheiros,,São Paulo,2962113346,,,,"R. PADRE CARVALHO, 507",,,,,https://www.wimoveis.com.br/propriedades/apartamento-pinheiros-do-it-pinheiros-2962113346.html,,,
Trisul,,,2022-05-31,Pompéia,,São Paulo,2950755696,12345566,,,"Avenida Pompéia, 2210",,,,,https://www.wimoveis.com.br/propriedades/apartamento-pompeia-boreal-madalena-2950755696.html,,,
Trisul,,,2022-05-31,Pinheiros,,São Paulo,2959464002,12345566,,,"Rua Capote Valente, 65 							",,,,,https://www.wimoveis.com.br/propriedades/apartamento-pinheiros-valen-capote-valente-2959464002.html,,,
Adriano Alencar ,145,145,2022-06-23,Águas Claras,5,Brasília,2966524814,Creci 25937/DF,,,,2,8,3,3,https://www.wimoveis.com.br/propriedades/residencial-millenium-resort-145-m-sup2--4-quartos-2966524814.html,1155,1.250.000,
SCALERCIO IMOBILIÁRIA,34,34,2022-07-02,Águas Claras,1,Brasília,2965783438,25006,,,,1,,1,1,https://www.wimoveis.com.br/propriedades/apt-34-m-sup2--1-suite-reformado-mobiliado-1-vaga-2965783438.html,311,315.000,
MARIA FERREIRA - CORRETORA DE IMOVEIS,56,56,2022-06-26,Águas Claras,2,Brasília,2966487160,12407,,,,1,10,2,1,https://www.wimoveis.com.br/propriedades/excelente-apartamento-02-quartos-vista-livre-com-2966487160.html,,480.000,
ROSA AMELIA ,135,135,2022-06-10,Águas Claras,4,Brasília,2966123222,,,,,2,6,3,1,https://www.wimoveis.com.br/propriedades/excelente-cobertura-toda-mobiliada-2966123222.html,669,860.000,
ESPAÇO IMOBILIÁRIA,283,290,2022-07-03,Águas Claras,5,Brasília,2960246701,19825-DF,,,Quadra 206 0,4,,4,4,https://www.wimoveis.com.br/propriedades/quadra-206-residencial-sargitarius-resort-2960246701.html,2500,2.200.000,
AJF IMÓVEIS IMOBILIÁRIA,34,34,2022-05-06,Águas Claras,1,Brasília,2964366674,CJ 28.105 DF,,,"R. Copaíba, lote 01 DF PLAZA 01 QUARTO 33M² SEMI-MOBILIADO",1,6,1,,https://www.wimoveis.com.br/propriedades/df-plaza-01-quarto-33-m-sup2--semi-mobiliado-vista-2964366674.html,330,350.000,
Giroto,103,190,2022-06-11,Águas Claras,3,Brasília,2965933125,26648,,,"Araucárias, 4530 aguas claras",2,1,3,1,https://www.wimoveis.com.br/propriedades/03-quartos-com-preco-especial-suite-andar-alto-2965933125.html,590,,
Juliana Storoz,80,84,2022-07-02,Águas Claras,2,Brasília,2966556377,24341,,,Rua 03 Norte 0,1,,3,1,https://www.wimoveis.com.br/propriedades/apartamento-reformado-03-quartos-01-suite-condominio-2966556377.html,677,760.000,
Kelly Souza,37,37,2022-06-28,Águas Claras,1,Brasília,2960114854,24472/DF ,,,Avenida das Araucárias n°4155 Andar Alto,1,10,1,,https://www.wimoveis.com.br/propriedades/acqua-village-2960114854.html,,340.000,
ANA CRISTINA CORRETORA DE IMOVEIS,80,80,2022-05-26,Águas Claras,2,Brasília,2964513018,10701-DF,,,,2,14,3,1,https://www.wimoveis.com.br/propriedades/espetacular-apartamento!-reformado-3-quartos.-estudo-2964513018.html,652,730.000,
THAIS IMOBILIÁRIA VENDAS,289,300,2022-07-02,Águas Claras,6,Brasília,2963901646,,,,Quadra 204 9,4,,4,4,https://www.wimoveis.com.br/propriedades/quadra-206-lote-09-sagitarius-residencial-resort-2963901646.html,1980,2.890.000,
MÁRCIO SANCHES CORRETOR DE IMÓVEIS,142,142,2022-05-28,Águas Claras,3,Brasília,2959749402,21636,,,QUADRA 103  lote 03,2,16,3,1,https://www.wimoveis.com.br/propriedades/apartamento-03-quartos-142-m-sup2--reformado-03-2959749402.html,870,1.080.000,
IMOBILIÁRIA NOBLE,38,38,2022-06-16,Águas Claras,1,Brasília,2966347798,23545 J,,,Rua 36,,10,1,,https://www.wimoveis.com.br/propriedades/apartamento-no-residencial-moove-em-aguas-claras.-2966347798.html,,319.000,
NOROESTEIMOB,133,133,2022-06-15,Águas Claras,4,Brasília,2958164031,27229,,,AVENIDA PARQUE ÁGUAS CLARAS ,3,1,3,3,https://www.wimoveis.com.br/propriedades/agio-de-incrivel-3-suites-vazado-e-com-vista-livre-pro-2958164031.html,,590.000,
DANI CINTRA,94,94,2022-06-28,Águas Claras,2,Brasília,2966501856,26049,,,Q. 209 lote 6 - Águas Claras,2,7,3,1,https://www.wimoveis.com.br/propriedades/-solar-montparnasse-aguas-claras-03-quartos-01-2966501856.html,700,750.000,
Trisul,,,2022-05-31,Pompéia,,São Paulo,2950755696,12345566,,,"Avenida Pompéia, 2210",,,,,https://www.wimoveis.com.br/propriedades/apartamento-pompeia-boreal-madalena-2950755696.html,,,
Trisul,,,2022-06-13,Alto de Pinheiros,,São Paulo,2950756051,12345566,,,"Rua Dardanelos , 488",,,,,https://www.wimoveis.com.br/propriedades/apartamento-no-alto-de-pinheiros-sonare-alto-de-2950756051.html,,,
Trisul,,,2022-05-31,Pinheiros,,São Paulo,2959464002,12345566,,,"Rua Capote Valente, 65 							",,,,,https://www.wimoveis.com.br/propriedades/apartamento-pinheiros-valen-capote-valente-2959464002.html,,,
Even,,,2022-06-07,Pinheiros,,São Paulo,2948633063,1234,,,"Rua João Moura, 502 ",,,,,https://www.wimoveis.com.br/propriedades/apartamento-em-pinheiros-clari-pinheiros-2948633063.html,,3.419.500,
AO CUBO IMOBILIARIA ,,,2022-06-13,Vila Romana,,São Paulo,2966100909,,,,"Catão, 876 ",,,,,https://www.wimoveis.com.br/propriedades/apartamento-vila-romana-panorama-2966100909.html,,2.312.907,
DANI CINTRA,94,94,2022-06-28,Águas Claras,2,Brasília,2966501856,26049,,,Q. 209 lote 6 - Águas Claras,2,7,3,1,https://www.wimoveis.com.br/propriedades/-solar-montparnasse-aguas-claras-03-quartos-01-2966501856.html,700,750.000,
MARIA FERREIRA - CORRETORA DE IMOVEIS,56,56,2022-06-26,Águas Claras,2,Brasília,2966487160,12407,,,,1,10,2,1,https://www.wimoveis.com.br/propriedades/excelente-apartamento-02-quartos-vista-livre-com-2966487160.html,,480.000,
Nova Inteligência Imobiliária,54,54,2022-07-02,Águas Claras,1,Brasília,2957067482,CJ - 25228,,,"R. 13 Norte, Citta Residence Lotes 1 e 3 Rua 14 Lotes 2 e 4",1,5,2,1,https://www.wimoveis.com.br/propriedades/apartamento-2-quartos-andar-alto-citta-residence-2957067482.html,540,475.000,
ANTONIO FILHO IMOBILIARIA,60,80,2022-07-02,Águas Claras,2,Brasília,2963125878,6494,,,Rua 7 Sul 0,1,,2,1,https://www.wimoveis.com.br/propriedades/mirante-prime-2-quartos-com-varanda-nascente-2963125878.html,500,520.000,
ANTONIO FILHO IMOBILIARIA,110,110,2022-07-02,Águas Claras,4,Brasília,2964590103,6494,,,Rua das Figueiras 5,1,,3,3,https://www.wimoveis.com.br/propriedades/soffisticato-lofts-amp--living-reformado-3-suites-2964590103.html,600,870.000,
Bruce Imóveis,66,66,2022-05-26,Águas Claras,2,Brasília,2965648923,17007,,,qd 301,1,10,3,1,https://www.wimoveis.com.br/propriedades/apartamento-3-quartos-aguas-claras-qd-301-reformado-2965648923.html,500,419.000,
Patricia Barbosa - Corretora de Imoveis,45,45,2022-06-28,Águas Claras,1,Brasília,2964461630,10902,,,AVENIDA DAS FIGUEIRAS 0,1,11,1,1,https://www.wimoveis.com.br/propriedades/a-venda-1-quarto-aguas-claras-residencial-athenas-2964461630.html,460,275.000,
Evandro Rodrigues Corretor de Imóveis,162,280,2022-06-22,Águas Claras,3,Brasília,2958850553,20348,,,QUADRA 205,2,15,4,1,https://www.wimoveis.com.br/propriedades/quadra-205-apartamento-04qts-vazado-vista-livre-2958850553.html,950,1.080.000,
Nova Inteligência Imobiliária,183,183,2022-07-02,Águas Claras,4,Brasília,2963296376,CJ - 25228,,,"Av. das Araucárias, Península Lazer e Urbanismo Lotes 2, 4, 6, 8 e 10",3,9,3,2,https://www.wimoveis.com.br/propriedades/apartamento-3-quartos-andar-alto-peninsula-lazer-e-2963296376.html,814,1.690.000,
Imobiliaria Coutinho,85,85,2022-06-28,Águas Claras,2,Brasília,2966520729,,,,"R. 36 Norte, 3350 ",2,3,3,1,https://www.wimoveis.com.br/propriedades/apartamento-a-venda-aguas-claras-top-life-2966520729.html,600,575.000,
PILOTIS IMOBILIÁRIA,80,132,2022-07-02,Águas Claras,2,Brasília,2966630677,22309JDF,,,Rua 09 Note ,1,,3,1,https://www.wimoveis.com.br/propriedades/excelente-apartamento-em-aguas-claras!-2966630677.html,785,730.000,
TADEU SANTIAGO CONSULTOR IMOBILIÁRIO CRECI: 9056,132,132,2022-06-10,Águas Claras,3,Brasília,2966137674,9056/DF,,,Quadra 104,1,10,4,1,https://www.wimoveis.com.br/propriedades/otimo-apartamento-localizado-na-quadra-104-aguas-2966137674.html,830,830.000,
Rilley Erick - Corretor de Imóveis,92,171,2022-07-01,Águas Claras,2,Brasília,2966305164,16191,,,Rua Babaçu Lote 3 Res. Art Life Design,2,7,3,1,https://www.wimoveis.com.br/propriedades/art-life-design-3-quartos-escritorio:-visite-hoje-2966305164.html,485,855.000,
PeB imóveis,42,42,2022-06-07,Águas Claras,1,Brasília,2964648386,24667,,,Rua 7 Norte Rua 7 Norte,1,1,1,,https://www.wimoveis.com.br/propriedades/apartamento-1-quarto-max-home-mall-aguas-claras-2964648386.html,363,395.000,
JWA CORRETORES ASSOCIADOS,33,33,2022-06-07,Águas Claras,1,Brasília,2957925471,26931,,,Rua das Aroeiras Palladium Residence 2º andar,1,10,1,1,https://www.wimoveis.com.br/propriedades/palladium-residence-33-m-01-quarto-mobiliado-2957925471.html,420,190.000,
AO CUBO IMOBILIARIA ,,,2022-06-09,Pinheiros,,São Paulo,2966051545,,,,Rua Alves Guimarães 170. Pinheiros - São Paulo/SP ,,,,,https://www.wimoveis.com.br/propriedades/apartamento-pinheiros-limited-pinheiros-2966051545.html,,483.825,
AO CUBO IMOBILIARIA ,,,2022-06-13,Vila Ipojuca,,São Paulo,2966215653,,,,Rua Camburiú 177,,,,,https://www.wimoveis.com.br/propriedades/apartamento-e-studio-vila-ipojuca-metrocasa-alto-de-2966215653.html,,187.950,
AO CUBO IMOBILIARIA ,,,2022-06-14,Vila Romana,,São Paulo,2966255045,,,,"R. Scipião, 238",,,,,https://www.wimoveis.com.br/propriedades/apartamento-e-studio-vila-romana-welconx-vila-romana-2966255045.html,,285.119,
AO CUBO IMOBILIARIA ,,,2022-06-17,Pinheiros,,São Paulo,2966319094,,,,"Rua Artur de Azevedo, 1781 - Pinheiros - São Paulo - SP",,,,,https://www.wimoveis.com.br/propriedades/apartamento-pinheiros-edge-pinheiros-2966319094.html,,5.209.920,
AO CUBO IMOBILIARIA ,,,2022-06-09,Pinheiros,,São Paulo,2966105052,,,,"Rua Cristiano Viana, n° 295 ",,,,,https://www.wimoveis.com.br/propriedades/apartamento-pinheiros-clari-2966105052.html,,3.387.700,
PeB imóveis,42,42,2022-06-07,Águas Claras,1,Brasília,2964648386,24667,,,Rua 7 Norte Rua 7 Norte,1,1,1,,https://www.wimoveis.com.br/propriedades/apartamento-1-quarto-max-home-mall-aguas-claras-2964648386.html,363,395.000,
Cristina Salles Corretora de Imóveis,60,60,2022-05-25,Águas Claras,2,Brasília,2963787435,,,,"Rua das Pitangueiras, nº 11 15°",1,15,2,1,https://www.wimoveis.com.br/propriedades/apartamento-de-2-quartos-proximo-ao-metro-com-lazer-2963787435.html,585,510.000,
Christiano Leite,34,34,2022-06-30,Águas Claras,1,Brasília,2963110929,24557,,,avenida parque aguas claras 2675,1,10,1,1,https://www.wimoveis.com.br/propriedades/apartamento-de-01-quarto-frente-ao-parque-2963110929.html,,250.000,
Paulo Bites,162,162,2022-02-15,Águas Claras,5,Brasília,2962570065,,,,Av ,3,1,,4,https://www.wimoveis.com.br/propriedades/4-suites-3-vagas-mans-es-paradiso-lancamento-frente-2962570065.html,,1.667.556,
Rilley Erick - Corretor de Imóveis,92,171,2022-07-01,Águas Claras,2,Brasília,2966305164,16191,,,Rua Babaçu Lote 3 Res. Art Life Design,2,7,3,1,https://www.wimoveis.com.br/propriedades/art-life-design-3-quartos-escritorio:-visite-hoje-2966305164.html,485,855.000,
TADEU SANTIAGO CONSULTOR IMOBILIÁRIO CRECI: 9056,132,132,2022-06-10,Águas Claras,3,Brasília,2966137674,9056/DF,,,Quadra 104,1,10,4,1,https://www.wimoveis.com.br/propriedades/otimo-apartamento-localizado-na-quadra-104-aguas-2966137674.html,830,830.000,
Hjonatan Lima Corretor de Imóveis,103,103,2022-07-02,Águas Claras,4,Brasília,2956076057,23049,,,PENÍNSULA,2,1,3,2,https://www.wimoveis.com.br/propriedades/aguas-claras-residencial-peninsula-3-quartos-103-2956076057.html,,970.000,
PILOTIS IMOBILIÁRIA,80,132,2022-07-02,Águas Claras,2,Brasília,2966630677,22309JDF,,,Rua 09 Note ,1,,3,1,https://www.wimoveis.com.br/propriedades/excelente-apartamento-em-aguas-claras!-2966630677.html,785,730.000,
